Date,Descript.,Treatment,Temperature_Treatment,Nutrient_Treatment,SRP..umol.L
8/5/18,tube.14,ANP,ambient,5uM N+1uM P,0.32
8/5/18,tube.16,ANP,ambient,5uM N+1uM P,0.19
8/5/18,tube.19,ANP,ambient,5uM N+1uM P,0.16
8/5/18,tube.20,ANP,ambient,5uM N+1uM P,0.08
8/5/18,tube.36,ANP,ambient,5uM N+1uM P,0.17
8/5/18,tube.6,AC,ambient,control,0.07
8/5/18,tube.8,AC,ambient,control,0.05
8/5/18,tube.17,AC,ambient,control,0.08
8/5/18,tube.31,AC,ambient,control,0.07
8/5/18,tube.32,AC,ambient,control,0.11
8/5/18,tube.4,AP,ambient,1uM P,0.25
8/5/18,tube.7,AP,ambient,1uM P,0.32
8/5/18,tube.9,AP,ambient,1uM P,0.25
8/5/18,tube.18,AP,ambient,1uM P,0.3
8/5/18,tube.35,AP,ambient,1uM P,0.27
7/31/18,NA,FSW,FSW,FSW,0.17
8/5/18,NA,FSW,FSW,FSW,0.21
8/5/18,tube.12,HNP,high,5uM N+1uM P,0.17
8/5/18,tube.21,HNP,high,5uM N+1uM P,0.28
8/5/18,tube.22,HNP,high,5uM N+1uM P,0.13
8/5/18,tube.25,HNP,high,5uM N+1uM P,0.19
8/5/18,tube.37,HNP,high,5uM N+1uM P,0.22
8/5/18,tube.2,HC,high,control,0.12
8/5/18,tube.3,HC,high,control,0.06
8/5/18,tube.5,HC,high,control,0.07
8/5/18,tube.15,HC,high,control,0.04
8/5/18,tube.28,HC,high,control,0.06
8/5/18,tube.1,HP,high,1uM P,0.44
8/5/18,tube.11,HP,high,1uM P,0.4
8/5/18,tube.13,HP,high,1uM P,0.46
8/5/18,tube.30,HP,high,1uM P,0.36
8/16/18,MCAP D5 #31,ANP,ambient,5uM N+1uM P,0.48
8/16/18,MCAP D5 #32,ANP,ambient,5uM N+1uM P,0.23
8/16/18,MCAP D5 #33,ANP,ambient,5uM N+1uM P,0.37
8/16/18,MCAP D5 #34,ANP,ambient,5uM N+1uM P,0.46
8/16/18,MCAP D5 #35,ANP,ambient,5uM N+1uM P,0.4
8/16/18,MCAP D5 #36,HNP,high,5uM N+1uM P,0.38
8/16/18,MCAP D5 #37,HNP,high,5uM N+1uM P,0.33
8/16/18,MCAP D5 #38,HNP,high,5uM N+1uM P,0.31
8/16/18,MCAP D5 #39,HNP,high,5uM N+1uM P,0.34
8/16/18,MCAP D5 #40,HNP,high,5uM N+1uM P,0.26
8/16/18,MCAP D5 #1,AC,ambient,control,0.05
8/16/18,MCAP D5 #2,AC,ambient,control,0.06
8/16/18,MCAP D5 #3,AC,ambient,control,0.08
8/16/18,MCAP D5 #4,AC,ambient,control,0.07
8/16/18,MCAP D5 #5,AC,ambient,control,0.06
8/16/18,MCAP D5 #6,HC,high,control,0.05
8/16/18,MCAP D5 #7,HC,high,control,0.05
8/16/18,MCAP D5 #8,HC,high,control,0.04
8/16/18,MCAP D5 #9,HC,high,control,0.05
8/16/18,MCAP D5 #10,HC,high,control,0.07
8/11/18,MCAP FSW Day 1,FSW,FSW,FSW,0.03
8/15/18,MCAP FSW Day 5,FSW,FSW,FSW,0.04
8/16/18,MCAP D5 #21,AP,ambient,Phosphate,0.37
8/16/18,MCAP D5 #22,AP,ambient,Phosphate,0.46
8/16/18,MCAP D5 #23,AP,ambient,Phosphate,0.32
8/16/18,MCAP D5 #24,AP,ambient,Phosphate,0.33
8/16/18,MCAP D5 #25,AP,ambient,Phosphate,0.36
8/16/18,MCAP D5 #26,HP,high,Phosphate,0.57
8/16/18,MCAP D5 #27,HP,high,Phosphate,0.59
8/16/18,MCAP D5 #28,HP,high,Phosphate,0.64
8/16/18,MCAP D5 #29,HP,high,Phosphate,0.62
8/16/18,MCAP D5 #30,HP,high,Phosphate,0.61
8/2/18,Fungia D4 #31,ANP,ambient,5uM N+1uM P,0.45
8/2/18,Fungia D4 #32,ANP,ambient,5uM N+1uM P,0.45
8/2/18,Fungia D4 #33,ANP,ambient,5uM N+1uM P,0.44
8/2/18,Fungia D4 #34,ANP,ambient,5uM N+1uM P,0.26
8/2/18,Fungia D4 #35,ANP,ambient,5uM N+1uM P,0.45
8/2/18,Fungia D4 #36,HNP,high,5uM N+1uM P,0.35
8/2/18,Fungia D4 #37,HNP,high,5uM N+1uM P,0.25
8/2/18,Fungia D4 #38,HNP,high,5uM N+1uM P,0.36
8/2/18,Fungia D4 #39,HNP,high,5uM N+1uM P,0.39
8/2/18,Fungia D4 #40,HNP,high,5uM N+1uM P,0.54
8/2/18,Fungia D4 #1,AC,ambient,control,0.06
8/2/18,Fungia D4 #2,AC,ambient,control,0.05
8/2/18,Fungia D4 #3,AC,ambient,control,0.04
8/2/18,Fungia D4 #4,AC,ambient,control,0.06
8/2/18,Fungia D4 #5,AC,ambient,control,0.05
8/2/18,Fungia D4 #6,HC,high,control,0.06
8/2/18,Fungia D4 #7,HC,high,control,0.07
8/2/18,Fungia D4 #8,HC,high,control,0.06
8/2/18,Fungia D4 #9,HC,high,control,0.05
8/2/18,Fungia D4 #10,HC,high,control,0.05
7/29/18,FSW Fungia Day 1,FSW,FSW,FSW,0.05
8/1/18,FSW Fungia Day 4,FSW,FSW,FSW,0.06
8/2/18,Fungia D4 #21,AP,ambient,Phosphate,0.51
8/2/18,Fungia D4 #22,AP,ambient,Phosphate,0.37
